"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","slider_start","itemA","itemB","categoryA","categoryB","correct","feedback","age","ethnicity","gender","race"
"consent","16005","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","html-button-response","0","2.0.0","16010","pilot_2zv63jjqvs","","","","","","","","","","","","","",""
"","35925","","","instructions","1","2.0.0","52189","pilot_2zv63jjqvs","","","[{""page_index"":0,""viewing_time"":35925}]","","","","","","","","","","",""
"practice_round","26495","<p style=""font-size: 32px;"">First, Sarah <strong>feels safe</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>feels nauseated</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling safe</strong> made her <strong>feel nauseated</strong>?</span></p>","11","html-slider-response","2","2.0.0","78941","pilot_2zv63jjqvs","","","","50","","","","","","","","","",""
"practice_feedback","2512","","","instructions","3","2.0.0","81707","pilot_2zv63jjqvs","","","[{""page_index"":0,""viewing_time"":2512}]","","","","","","","","","","",""
"causal_trial_1","29362","<p style=""font-size: 32px;"">First, Sarah <strong>chose what to do</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>choosing what to do</strong> made her <strong>feel scared</strong>?</span></p>","78","html-slider-response","4","2.0.0","111323","pilot_2zv63jjqvs","","","","50","choose what to do","feel scared","cognitive","physiological","","","","","",""
"causal_trial_2","9879","<p style=""font-size: 32px;"">First, Sarah <strong>heard something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>kicked something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>hearing something</strong> made her <strong>kick something</strong>?</span></p>","77","html-slider-response","5","2.0.0","121457","pilot_2zv63jjqvs","","","","50","hear something","kick something","cognitive","physical","","","","","",""
"causal_trial_3","12929","<p style=""font-size: 32px;"">First, Sarah <strong>heard something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>chose what to do</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>hearing something</strong> made her <strong>choose what to do</strong>?</span></p>","78","html-slider-response","6","2.0.0","134640","pilot_2zv63jjqvs","","","","50","hear something","choose what to do","cognitive","cognitive","","","","","",""
"causal_trial_4","8196","<p style=""font-size: 32px;"">First, Sarah <strong>chose what to do</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>sat down</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>choosing what to do</strong> made her <strong>sit down</strong>?</span></p>","100","html-slider-response","7","2.0.0","143090","pilot_2zv63jjqvs","","","","50","choose what to do","sit down","cognitive","physical","","","","","",""
"causal_trial_5","12129","<p style=""font-size: 32px;"">First, Sarah <strong>saw something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>seeing something</strong> made her <strong>feel hungry</strong>?</span></p>","75","html-slider-response","8","2.0.0","155474","pilot_2zv63jjqvs","","","","50","see something","feel hungry","cognitive","physiological","","","","","",""
"causal_trial_6","12597","<p style=""font-size: 32px;"">First, Sarah <strong>felt hungry</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling hungry</strong> made her <strong>feel scared</strong>?</span></p>","23","html-slider-response","9","2.0.0","168325","pilot_2zv63jjqvs","","","","50","feel hungry","feel scared","physiological","physiological","","","","","",""
"causal_trial_7","8913","<p style=""font-size: 32px;"">First, Sarah <strong>thought about something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>chose what to do</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>thinking about something</strong> made her <strong>choose what to do</strong>?</span></p>","77","html-slider-response","10","2.0.0","177491","pilot_2zv63jjqvs","","","","50","think about something","choose what to do","cognitive","cognitive","","","","","",""
"causal_trial_8","19930","<p style=""font-size: 32px;"">First, Sarah <strong>chose what to do</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt sick</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>choosing what to do</strong> made her <strong>feel sick</strong>?</span></p>","76","html-slider-response","11","2.0.0","197675","pilot_2zv63jjqvs","","","","50","choose what to do","feel sick","cognitive","physiological","","","","","",""
"causal_trial_9","28999","<p style=""font-size: 32px;"">First, Sarah <strong>jumped up and down</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt tired</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>jumping up and down</strong> made her <strong>feel tired</strong>?</span></p>","100","html-slider-response","12","2.0.0","226926","pilot_2zv63jjqvs","","","","50","jump up and down","feel tired","physical","physiological","","","","","",""
"attention_check_1","10313","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move the slider all the way to the&nbsp;&nbsp;<strong>left</strong></p>","0","html-slider-response","13","2.0.0","237492","pilot_2zv63jjqvs","","","","50","","","","","true","","","","",""
