"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","slider_start","itemA","itemB","categoryA","categoryB","correct","feedback","age","ethnicity","gender","race"
"consent","21256","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","html-button-response","0","2.0.0","21261","pilot_fy20d4dn6x","","","","","","","","","","","","","",""
"","45100","","","instructions","1","2.0.0","66616","pilot_fy20d4dn6x","","","[{""page_index"":0,""viewing_time"":45100}]","","","","","","","","","","",""
"practice_round","21635","<div style=""margin-bottom: 50px; text-align: center;"">
                    <p style=""font-size: 32px"">Can&nbsp;&nbsp;<strong>feeling safe</strong>&nbsp;&nbsp;
                    <span style=""font-size: 32px;"">make someone&nbsp;&nbsp;</span>
                    <strong>feel nauseated?</strong></p>","22","html-slider-response","2","2.0.0","88509","pilot_fy20d4dn6x","","","","50","","","","","","","","","",""
"practice_feedback","2656","","","instructions","3","2.0.0","91419","pilot_fy20d4dn6x","","","[{""page_index"":0,""viewing_time"":2656}]","","","","","","","","","","",""
"causal_trial_1","3982","<p style=""font-size: 32px;"">Can <strong>remembering something</strong> make someone <strong>feel sick</strong>?</p>","76","html-slider-response","4","2.0.0","95655","pilot_fy20d4dn6x","","","","50","remember something","feel sick","cognitive","physiological","","","","","",""
"causal_trial_2","3643","<p style=""font-size: 32px;"">Can <strong>sitting down</strong> make someone <strong>feel sick</strong>?</p>","43","html-slider-response","5","2.0.0","99554","pilot_fy20d4dn6x","","","","50","sit down","feel sick","physical","physiological","","","","","",""
"causal_trial_3","4020","<p style=""font-size: 32px;"">Can <strong>jumping up and down</strong> make someone <strong>feel hungry</strong>?</p>","76","html-slider-response","6","2.0.0","103829","pilot_fy20d4dn6x","","","","50","jump up and down","feel hungry","physical","physiological","","","","","",""
"causal_trial_4","14005","<p style=""font-size: 32px;"">Can <strong>reaching for something</strong> make someone <strong>hear something</strong>?</p>","76","html-slider-response","7","2.0.0","118090","pilot_fy20d4dn6x","","","","50","reach for something","hear something","physical","cognitive","","","","","",""
"causal_trial_5","6268","<p style=""font-size: 32px;"">Can <strong>jumping up and down</strong> make someone <strong>sit down</strong>?</p>","71","html-slider-response","8","2.0.0","124613","pilot_fy20d4dn6x","","","","50","jump up and down","sit down","physical","physical","","","","","",""
"causal_trial_6","8526","<p style=""font-size: 32px;"">Can <strong>seeing something</strong> make someone <strong>take a walk</strong>?</p>","87","html-slider-response","9","2.0.0","133394","pilot_fy20d4dn6x","","","","50","see something","take a walk","cognitive","physical","","","","","",""
"causal_trial_7","3368","<p style=""font-size: 32px;"">Can <strong>feeling tired</strong> make someone <strong>kick something</strong>?</p>","60","html-slider-response","10","2.0.0","137018","pilot_fy20d4dn6x","","","","50","feel tired","kick something","physiological","physical","","","","","",""
"causal_trial_8","5255","<p style=""font-size: 32px;"">Can <strong>feeling sick</strong> make someone <strong>feel pain</strong>?</p>","96","html-slider-response","11","2.0.0","142528","pilot_fy20d4dn6x","","","","50","feel sick","feel pain","physiological","physiological","","","","","",""
"causal_trial_9","5059","<p style=""font-size: 32px;"">Can <strong>choosing what to do</strong> make someone <strong>sit down</strong>?</p>","77","html-slider-response","12","2.0.0","147841","pilot_fy20d4dn6x","","","","50","choose what to do","sit down","cognitive","physical","","","","","",""
"attention_check_1","4111","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move the slider all the way to the&nbsp;&nbsp;<strong>left</strong></p>","0","html-slider-response","13","2.0.0","152207","pilot_fy20d4dn6x","","","","50","","","","","true","","","","",""
"causal_trial_10","4799","<p style=""font-size: 32px;"">Can <strong>taking a walk</strong> make someone <strong>kick something</strong>?</p>","65","html-slider-response","14","2.0.0","157261","pilot_fy20d4dn6x","","","","50","take a walk","kick something","physical","physical","","","","","",""
"causal_trial_11","18244","<p style=""font-size: 32px;"">Can <strong>hearing something</strong> make someone <strong>feel tired</strong>?</p>","70","html-slider-response","15","2.0.0","175759","pilot_fy20d4dn6x","","","","50","hear something","feel tired","cognitive","physiological","","","","","",""
"causal_trial_12","8914","<p style=""font-size: 32px;"">Can <strong>thinking about something</strong> make someone <strong>kick something</strong>?</p>","75","html-slider-response","16","2.0.0","184928","pilot_fy20d4dn6x","","","","50","think about something","kick something","cognitive","physical","","","","","",""
"causal_trial_13","2268","<p style=""font-size: 32px;"">Can <strong>feeling tired</strong> make someone <strong>feel hungry</strong>?</p>","75","html-slider-response","17","2.0.0","187450","pilot_fy20d4dn6x","","","","50","feel tired","feel hungry","physiological","physiological","","","","","",""
"causal_trial_14","2633","<p style=""font-size: 32px;"">Can <strong>feeling tired</strong> make someone <strong>remember something</strong>?</p>","57","html-slider-response","18","2.0.0","190338","pilot_fy20d4dn6x","","","","50","feel tired","remember something","physiological","cognitive","","","","","",""
"causal_trial_15","16251","<p style=""font-size: 32px;"">Can <strong>feeling pain</strong> make someone <strong>sit down</strong>?</p>","72","html-slider-response","19","2.0.0","206843","pilot_fy20d4dn6x","","","","50","feel pain","sit down","physiological","physical","","","","","",""
"causal_trial_16","4152","<p style=""font-size: 32px;"">Can <strong>feeling hungry</strong> make someone <strong>feel tired</strong>?</p>","79","html-slider-response","20","2.0.0","211250","pilot_fy20d4dn6x","","","","50","feel hungry","feel tired","physiological","physiological","","","","","",""
"causal_trial_17","15756","<p style=""font-size: 32px;"">Can <strong>kicking something</strong> make someone <strong>feel scared</strong>?</p>","68","html-slider-response","21","2.0.0","227260","pilot_fy20d4dn6x","","","","50","kick something","feel scared","physical","physiological","","","","","",""
"causal_trial_18","6909","<p style=""font-size: 32px;"">Can <strong>feeling scared</strong> make someone <strong>kick something</strong>?</p>","84","html-slider-response","22","2.0.0","234425","pilot_fy20d4dn6x","","","","50","feel scared","kick something","physiological","physical","","","","","",""
"attention_check_2","4766","<p style=""font-size: 32px;"">This is a&nbsp;&nbsp;<strong>check.</strong>&nbsp;&nbsp;Please move slider to&nbsp;&nbsp;<strong>'Agree'</strong></p>","75","html-slider-response","23","2.0.0","239446","pilot_fy20d4dn6x","","","","50","","","","","false","","","","",""
