"trial_id","rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","slider_start","itemA","itemB","categoryA","categoryB","correct","feedback","age","ethnicity","gender","race"
"consent","14666","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","html-button-response","0","2.0.0","14677","pilot_htdpl9r472","","","","","","","","","","","","","",""
"","20886","","","instructions","1","2.0.0","35833","pilot_htdpl9r472","","","[{""page_index"":0,""viewing_time"":20886}]","","","","","","","","","","",""
"practice_round","21500","<p style=""font-size: 32px;"">First, Sarah <strong>feels safe</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>feels nauseated</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling safe</strong> made her <strong>feel nauseated</strong>?</span></p>","25","html-slider-response","2","2.0.0","57601","pilot_htdpl9r472","","","","50","","","","","","","","","",""
"practice_feedback","1920","","","instructions","3","2.0.0","59778","pilot_htdpl9r472","","","[{""page_index"":0,""viewing_time"":1920}]","","","","","","","","","","",""
"causal_trial_1","7394","<p style=""font-size: 32px;"">First, Sarah <strong>sat down</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>jumped up and down</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>sitting down</strong> made her <strong>jump up and down</strong>?</span></p>","0","html-slider-response","4","2.0.0","67442","pilot_htdpl9r472","","","","50","sit down","jump up and down","physical","physical","","","","","",""
"causal_trial_2","5829","<p style=""font-size: 32px;"">First, Sarah <strong>felt pain</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt scared</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling pain</strong> made her <strong>feel scared</strong>?</span></p>","77","html-slider-response","5","2.0.0","73531","pilot_htdpl9r472","","","","50","feel pain","feel scared","physiological","physiological","","","","","",""
"causal_trial_3","7607","<p style=""font-size: 32px;"">First, Sarah <strong>felt pain</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt hungry</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling pain</strong> made her <strong>feel hungry</strong>?</span></p>","70","html-slider-response","6","2.0.0","81393","pilot_htdpl9r472","","","","50","feel pain","feel hungry","physiological","physiological","","","","","",""
"causal_trial_4","8146","<p style=""font-size: 32px;"">First, Sarah <strong>felt scared</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>thought about something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling scared</strong> made her <strong>think about something</strong>?</span></p>","99","html-slider-response","7","2.0.0","89800","pilot_htdpl9r472","","","","50","feel scared","think about something","physiological","cognitive","","","","","",""
"causal_trial_5","4642","<p style=""font-size: 32px;"">First, Sarah <strong>felt pain</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>remembered something</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>feeling pain</strong> made her <strong>remember something</strong>?</span></p>","100","html-slider-response","8","2.0.0","94722","pilot_htdpl9r472","","","","50","feel pain","remember something","physiological","cognitive","","","","","",""
"causal_trial_6","7236","<p style=""font-size: 32px;"">First, Sarah <strong>saw something</strong>.
                   <span style=""font-size: 32px"">Then, she <strong>felt pain</strong>.</span></p>
                   <p><span style=""font-size:32px"">Do you think that <strong>seeing something</strong> made her <strong>feel pain</strong>?</span></p>","43","html-slider-response","9","2.0.0","102224","pilot_htdpl9r472","","","","50","see something","feel pain","cognitive","physiological","","","","","",""
